"InsectPK","BeeNonbee","Order","Family","Genus","SubGenus","Species","SubSpecies"
206,"bee","Hymenoptera","Andrenidae","Andrena","","microchlora",""
207,"bee","Hymenoptera","Apidae","Triepeolus","","melanarius",""
208,"bee","Hymenoptera","Apidae","Diadasia","","diminuta",""
209,"non-bee","Diptera","Ulidiidae","Euxesta","","",""
210,"non-bee","Diptera","Cicadellidae","","","",""
211,"bee","Hymenoptera","Halictidae","Lasioglossum","(Evylaeus)","diatretum",""
212,"bee","Hymenoptera","Colletidae","Hylaeus","","calvus",""
213,"bee","Hymenoptera","Megachilidae","Osmia","","sp.","MB"
214,"bee","Hymenoptera","Megachilidae","Osmia","","aglaia",""
215,"bee","Hymenoptera","Megachilidae","","","",""
216,"non-bee","Diptera","Chloropidae","","","",""
217,"bee","Hymenoptera","Apidae","Nomada","","sp.","CK-1M"
218,"bee","Hymenoptera","Megachilidae","Heriades","","occidentalis",""
219,"bee","Hymenoptera","Colletidae","Hylaeus","","leptocephalus",""
220,"non-bee","Diptera","Syrphidae","Eumerus","","",""
221,"non-bee","Diptera","Simuliidae","","","",""
222,"bee","Hymenoptera","Andrenidae","Calliopsis","","fracta",""
223,"bee","Hymenoptera","Megachilidae","Osmia","","coloradensis",""
224,"bee","Hymenoptera","Andrenidae","Andrena","","orthocarpi",""
225,"bee","Hymenoptera","Halictidae","Lasioglossum","","sisymbrii",""
226,"bee","Hymenoptera","Megachilidae","Osmia","","trevoris",""
227,"bee","Hymenoptera","Apidae","Eucera","","edwardsii",""
228,"bee","Hymenoptera","Apidae","Nomada","","hesperia",""
229,"bee","Hymenoptera","Apidae","Melissodes","","communis","alopex"
230,"bee","Hymenoptera","Apidae","Xylocopa","","varipuncta",""
231,"bee","Hymenoptera","Apidae","Triepeolus","","sp.","1M"
232,"bee","Hymenoptera","Apidae","Xylocopa","","tabaniformis","orpifex"
233,"non-bee","Diptera","Syrphidae","Eumerus","","strigatus",""
234,"bee","Hymenoptera","Andrenidae","Andrena","","knuthiana",""
235,"bee","Hymenoptera","Andrenidae","Andrena","","cressonii","infasciata"
236,"bee","Hymenoptera","Apidae","Nomada","","sp.","3M"
237,"bee","Hymenoptera","Andrenidae","Perdita","","salicis","tristis"
238,"bee","Hymenoptera","Melittidae","Hesperapis","","ilicifoliae",""
239,"bee","Hymenoptera","Apidae","Eucera","frater","albopilosa",""
240,"non-bee","Diptera","Syrphidae","Allograpta","","micrura",""
241,"bee","Hymenoptera","Apidae","Xeromelecta","","californica",""
242,"bee","Hymenoptera","Apidae","Triepeolus","","sp.","2M"
243,"non-bee","Diptera","Syrphidae","Myathropa","","florea",""
244,"non-bee","Hymenoptera","Vespidae","Eumenes","","crucifera",""
245,"bee","Hymenoptera","Megachilidae","Anthidium","","manicatum",""
246,"bee","Hymenoptera","Halictidae","","","",""
247,"non-bee","Diptera","Tachinidae","Gymnosomam","","",""
248,"non-bee","Diptera","Tachinidae","Trichopoda","","",""
249,"non-bee","Diptera","Tachinidae","Cylindromyia","","",""
250,"non-bee","Hymenoptera","Crabronidae","Belomicrus","","sericeum",""
251,"non-bee","Hymenoptera","Vespidae","Stenodynerus","","claremontensis",""
252,"bee","Hymenoptera","Megachilidae","Osmia","","sp.","MD"
253,"non-bee","Hymenoptera","Chrysididae","Chrysis","","amala",""
254,"non-bee","Mantodea","","","","",""
255,"non-bee","Diptera","Pipunculidae","","","",""
256,"bee","Hymenoptera","Apidae","Diadasia","","nigrifrons",""
257,"non-bee","Diptera","Syrphidae","Syrphus","","torvus",""
258,"bee","Hymenoptera","Andrenidae","Andrena","","w-scripta",""
259,"non-bee","Hymenoptera","Vespidae","Polistes",NA,"dominula",NA
260,NA,NA,"",NA,NA,NA,NA
261,"non-bee","Diptera","Syrphidae","Sphaerophoria",NA,"contigua",NA
262,"non-bee","Hymenoptera","Vespidae","Stenodynerus",NA,"blandus",NA
263,"non-bee","Diptera","Syrphidae","Sphaerophoria",NA,"sulphuripes",NA
264,"non-bee","Hymenoptera","Chrysididae","Hedychridium",NA,"soliarellae",NA
265,"bee","Hymenoptera","Apidae","Nomada","","sp.","5"
266,"non-bee","Hymenoptera","Crabronidae","Ectemnius",NA,"spinifer",NA
267,"non-bee","Diptera","Syrphidae","Eupeodes",NA,"fumipennis",NA
268,"non-bee","Hymenoptera","Crabronidae","Ectemnius",NA,"areuatus",NA
269,"non-bee","Diptera","Syrphidae","Platycheirus",NA,"stegnus",NA
270,"non-bee","Diptera","Syrphidae","Platycheirus",NA,"obscurus",NA
271,"non-bee","Diptera","Syrphidae","Syrphus",NA,"opinator",NA
272,"non-bee","Diptera","Syrphidae","Scaeva",NA,"pyrastri",NA
273,"non-bee","Diptera","Syrphidae","Allograpta",NA,"exotica",NA
274,"non-bee","Diptera","Syrphidae","Toxomerus",NA,"marginatus",NA
275,"non-bee","Diptera","Syrphidae","Asemosyrphus",NA,"polygrammus",NA
276,"non-bee","Diptera","Syrphidae","Eupeodes",NA,"volucris",NA
277,"non-bee","Diptera","Syrphidae","Paragus",NA,"haemorrhous",NA
278,"non-bee","Lepidoptera","Hesperiidae","Pyrgus",NA,"communis",NA
279,"non-bee","Lepidoptera","Nymphalidae","Vanessa",NA,"cardui",NA
280,"non-bee","Hymenoptera","Vespidae","Polistes",NA,"aurifer",NA
281,"non-bee","Diptera","Syrphidae","Helophilus",NA,"latifrons",NA
282,"non-bee","Lepidoptera","Hesperiidae","Atalopedes",NA,"campestris",NA
283,"non-bee","Diptera","Syrphidae","Eristalinus",NA,"aeneus",NA
284,"non-bee","Diptera","Syrphidae","Eristalis",NA,"tenax",NA
285,"non-bee","Hymenoptera","Vespidae","Stenodynerus",NA,"cochisensis",NA
286,"non-bee","Lepidoptera","Pieridae","Pieris",NA,"rapae",NA
287,"non-bee","Diptera","Syrphidae","Tropidia",NA,"quadrata",NA
288,"bee","Hymenoptera","Andrenidae","Andrena","","angustitarsata",""
289,"non-bee","Diptera","Syrphidae","Ceriana",NA,"tridens",NA
290,"non-bee","Diptera","Syrphidae","Sphaerophoria",NA,"pyrrhina",NA
291,"non-bee","Diptera","Syrphidae","Eristalis",NA,"hirta",NA
292,"non-bee","Lepidoptera","Lycaenidae","Lycaena",NA,"helloides",NA
293,"non-bee","Diptera","Syrphidae","Syritta",NA,"flaviventris",NA
294,"non-bee","Hymenoptera","Vespidae","Euodynerus",NA,"hidalgo",NA
295,"non-bee","Hymenoptera","Vespidae","Euodynerus",NA,"annulatus",NA
296,"non-bee","Hymenoptera","Vespidae","Ancistrocerus",NA,"catskill",NA
297,"non-bee","Hymenoptera","Vespidae","Polistes",NA,"dorsalis",NA
298,"non-bee","Diptera","Syrphidae","Syritta",NA,"pipiens",NA
299,"non-bee","Hymenoptera","Sphecidae","Prionyx",NA,"attratus",NA
300,"non-bee","Hymenoptera","Sphecidae","Isodontia",NA,"elegans",NA
301,"non-bee","Hymenoptera","Chrysididae","Chrysura",NA,"inusitata",NA
302,"non-bee","Lepidoptera","Pieridae","Colias",NA,"eurytheme",NA
303,"non-bee","Hymenoptera","Vespidae","Leptochilus",NA,"irwini",NA
304,"bee","Hymenoptera","Apidae","Eucera","","frater",""
305,"bee","Hymenoptera","Apidae","Ceratina","","punctigena",""
306,"non-bee","Hymenoptera","Crabronidae","Tachytes",NA,"distinctus",NA
307,"non-bee","Hymenoptera","Vespidae","Eumenes",NA,"crucifera",NA
308,"non-bee","Lepidoptera","Nymphalidae","Junonia",NA,"coenia",NA
309,"non-bee","Diptera","Syrphidae","Copestylum",NA,"mexicanum",NA
310,"non-bee","Hymenoptera","Sphecidae","Prionyx",NA,"parkeri",NA
311,"non-bee","Hymenoptera","Sphecidae","Sceliphron",NA,"caementarium",NA
312,"non-bee","Hymenoptera","Sphecidae","Chalybion",NA,"californicum",NA
313,"non-bee","Lepidoptera","Lycaenidae","Plebejus",NA,"acmon",NA
314,"non-bee","Diptera","Syrphidae","Eristalis",NA,"arbustorum",NA
315,"non-bee","Hymenoptera","Chrysididae","Chrysis",NA,"amala",NA
316,"non-bee","Lepidoptera","Lycaenidae","Atilides",NA,"halesus",NA
317,"non-bee","Diptera","Syrphidae","Myathropa",NA,"florea",NA
318,"bee","Hymenoptera","Halictidae","Lasioglossum","(Dialictus)","brunneiiventre",""
319,"bee","Hymenoptera","Halictidae","Lasioglossum","(Dialictus)","impavidum",""
320,"non-bee","Hymenoptera","Vespidae","Ancistrocerus",NA,"spilogaster",NA
321,"non-bee","Diptera","Syrphidae","Eristalis",NA,"stipator",NA
322,"non-bee","Diptera","Syrphidae","Allograpta",NA,"obliqua",NA
323,"non-bee","Hymenoptera","Crabronidae","Bembix",NA,"americana",NA
324,"bee","Hymenoptera","Apidae","Bombus","","vandykei",""
325,"bee","Hymenoptera","Apidae","Nomada","","sp.","CK-2M"
326,"bee","Hymenoptera","Colletidae","Hylaeus","","episcopalis",""
327,"bee","Hymenoptera","Halictidae","Lasioglossum","","ovaliceps",""
328,"bee","Hymenoptera","Apidae","Diadasia","","conociata",""
329,"non-bee","Hymenoptera","Sphecidae","Sphex",NA,"pensylvanicus",NA
330,"non-bee","Diptera","Syrphidae","Toxomerus",NA,"occidentalis",NA
331,"non-bee","Hymenoptera","Crabronidae","Belomicrus",NA,"sericeum",NA
332,"non-bee","Hymenoptera","Vespidae","Stenodynerus",NA,"claremontensis",NA
333,"bee","Hymenoptera","Halictidae","Lasioglossum","","(Dialictus)",""
334,"non-bee","Diptera","Syrphidae","Palpada",NA,"alhambra",NA
335,"non-bee","Lepidoptera","Lycaenidae","Cupido",NA,"amyntula",NA
336,"bee","Hymenoptera","Andrenidae","Calliopsis","","hesperia","equina"
337,"non-bee","Lepidoptera","Hesperiidae","Lerodea",NA,"eufala",NA
338,"non-bee","Lepidoptera","Lycaenidae","Strymon",NA,"melinus",NA
339,"non-bee","Lepidoptera","Lycaenidae","Brephidium",NA,"exilis",NA
340,"non-bee","Diptera","Syrphidae","Pipiza",NA,"",NA
341,"bee","Hymenoptera","Megachilidae","Dianthidium","","ulkei",""
342,"non-bee","Hymenoptera","Sphecidae","Chlorion",NA,"aerarium",NA
343,"non-bee","Lepidoptera","Hesperiidae","Pyrgus",NA,"scriptura",NA
344,"bee","Hymenoptera","Halictidae","Lasioglossum","(Dialictus)","B",""
345,"bee","Hymenoptera","Megachilidae","Dianthidium","","pudicum",""
346,"bee","Hymenoptera","Halictidae","Lasioglossum","(Evylaeus)","sp.","P"
347,"non-bee","Lepidoptera","Nymphalidae","Phyciodes",NA,"mylitta",NA
348,"bee","Hymenoptera","Halictidae","Sphecodes","","sp.","D"
349,"bee","Hymenoptera","Halictidae","Lasioglossum","(Dialictus)","D",""
350,"bee","Hymenoptera","Apidae","Triepeolus","","sp.","CK-1"
351,"bee","Hymenoptera","Halictidae","Lasioglossum","(Dialictus)","spp.",""
352,"non-bee","Diptera","Syrphidae","Parhelophilus",NA,"laetus",NA
353,"bee","Hymenoptera",NA,"Tetraloniella","","pomonae",""
354,"bee","Hymenoptera","Andrenidae","Calliopsis","","boharti",""
355,"non-bee","Lepidoptera","Papilionidae","Battus",NA,"philenor",NA
356,"non-bee","Lepidoptera","Hesperiidae","Pholisora",NA,"catullus",NA
357,"non-bee","Lepidoptera","Nymphalidae","Limentis",NA,"lorquini",NA
358,"non-bee","Lepidoptera","Nymphalidae","Coenonympha",NA,"tullia",NA
359,"bee","Hymenoptera","Andrenidae","Andrena","","subaustralis",""
360,"non-bee","Diptera","Syrphidae","Syrphus",NA,"torvus",NA
361,"bee","Hymenoptera","Megachilidae","Stelis","","montana",""
362,"non-bee","Diptera","Syrphidae","Mallota",NA,"sackeni",NA
363,"bee","Hymenoptera","Halictidae","Lasioglossum","(Evylaeus)","sp.","4"
364,"non-bee","Diptera","Syrphidae","Lejops",NA,"polygrammus",NA
365,"bee","Hymenoptera","Megachilidae","Coelioxys","","apacheiorum",""
366,"non-bee","Diptera","Syrphidae","Platycheirus",NA,"quadratus",NA
367,"bee","Hymenoptera","Megachilidae","Coelioxys","","novomexicana",""
368,"bee","Hymenoptera","Andrenidae","Calliopsis","","scitula",""
369,"non-bee","Diptera","Syrphidae","Eumerus",NA,"strigatus",NA
370,"bee","Hymenoptera","Apidae","Nomada","","sp.","CK-1"
371,"bee","Hymenoptera","Colletidae","Colletes","","hyalinus",""
372,"bee","Hymenoptera","Megachilidae","Osmia","","odontogaster",""
373,"bee","Hymenoptera","Apidae","Anthophora","","edwardsii",""
374,"bee","Hymenoptera","Apidae","Nomada","","sp.","HS-Y-1"
375,"non-bee","Diptera","Syrphidae","Neocnemodon",NA,"sp",NA
376,"non-bee","Diptera","Syrphidae","Odontomyia",NA,"sp",NA
377,"non-bee","Lepidoptera","Papilionidae","Papilio",NA,"rutulus",NA
378,"non-bee","Lepidoptera","Pieridae","Pontia",NA,"protodice",NA
379,"bee","Hymenoptera","Andrenidae","Andrena","","melanochroa",""
380,"bee","Hymenoptera","Halictidae","Lasioglossum","","olympiae",""
381,"bee","Hymenoptera","Andrenidae","Andrena","","misella",""
382,"bee","Hymenoptera","Megachilidae","Osmia","","sp.","CK-BR"
383,"bee","Hymenoptera",NA,"Habropoda","","tristissima",""
384,"bee","Hymenoptera","Megachilidae","Hoplitis","","sambuci",""
385,"bee","Hymenoptera","Megachilidae","Osmia","","cyanella",""
386,"bee","Hymenoptera","Megachilidae","Osmia","","gabrielis",""
387,"bee","Hymenoptera","Colletidae","Hylaeus","","verticalis",""
388,"bee","Hymenoptera","Colletidae","Colletes","","fulgidus",""
389,"bee","Hymenoptera","Andrenidae","Andrena","","semipunctata",""
390,"bee","Hymenoptera","Megachilidae","Osmia","","spp.",""
391,"non-bee","Diptera","Syrphidae","Gymnosoma",NA,"",NA
392,"bee","Hymenoptera","Megachilidae","Anthidium","","illustre","robertsoni"
393,"bee","Hymenoptera",NA,"Dufourea","","sp.","1"
394,"non-bee","Diptera","Syrphidae","Platycheirus",NA,"",NA
395,"bee","Hymenoptera","Megachilidae","Megachile","","prosopidis",""
396,"bee","Hymenoptera","Halictidae","Halictus","","farinosus",""
397,"non-bee","Diptera","Syrphidae","Eumerus",NA,"",NA
398,"bee","Hymenoptera","Megachilidae","Ashmeadiella","","timberlakei","solida"
399,"bee","Hymenoptera","Megachilidae","Anthidium","","utahense","robertsoni"
400,"bee","Hymenoptera","Halictidae","Sphecodes","","spp.",""
401,"bee","Hymenoptera","Apidae","Triepeolus","","utahensis",""
402,"non-bee","Lepidoptera","Hesperiidae","Poanes",NA,"melane",NA
403,"non-bee","Lepidoptera","Lycaenidae","Callophrys",NA,"augustinus",NA
404,"bee","Hymenoptera","Apidae","Melissodes","","communis","aloplex"
405,"non-bee","Diptera","Syrphidae","Paragus",NA,"sp.",NA
406,"bee","Hymenoptera","Halictidae","Lasioglossum","(Evylaeus)","sp.","B"
407,"non-bee","Diptera","Syrphidae","Platycheirus",NA,"sp.",NA
408,"non-bee","Diptera","Syrphidae","Lapposyrphus",NA,"lapponicus",NA
409,"bee","Hymenoptera","Apidae","Diadasia","","chionura",""
